Ноутбук Ультрабук Sony vaio SV-T1122M2R/W;https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_ultrabuk_sony_vaio_sv-t1122m2rw_1091016954;35 000;м. Приморская
"Новый Ультрабук Asus UX303 Core i5, SSD, 13""";https://www.avito.ru/sankt-peterburg/noutbuki/novyy_ultrabuk_asus_ux303_core_i5_ssd_13_873002272;42 400;м. Новочеркасская
Мощный ультрабук\Intel Core i3 4000\12 Гигов памят;https://www.avito.ru/sankt-peterburg/noutbuki/moschnyy_ultrabukintel_core_i3_400012_gigov_pamyat_1719323983;15 000;м. Звездная
Мощный Ультрабук\Core i5-4210\8-Гигов\SSD128GB;https://www.avito.ru/sankt-peterburg/noutbuki/moschnyy_ultrabukcore_i5-42108-gigovssd128gb_1250803844;16 999;м. Московская
Ультрабук Prestigio;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_prestigio_1177176216;9 000 ;м. Площадь Восстания
"Новый Ультрабук Asus UX310UA Core i7, SSD, 13""";https://www.avito.ru/sankt-peterburg/noutbuki/novyy_ultrabuk_asus_ux310ua_core_i7_ssd_13_1029272759;46 800;м. Новочеркасская
"Удобный ультрабук yepo 737T 14.1"" 4 ядра 2Гб 32Гб";https://www.avito.ru/sankt-peterburg/noutbuki/udobnyy_ultrabuk_yepo_737t_14.1_4_yadra_2gb_32gb_1714577950;6 000 ;м. Лесная
"Новый Ультрабук Asus UX330UA Core i7, SSD, 13""";https://www.avito.ru/sankt-peterburg/noutbuki/novyy_ultrabuk_asus_ux330ua_core_i7_ssd_13_1019354218;55 200;м. Новочеркасская
Dell ультрабук трансформер;https://www.avito.ru/sankt-peterburg/noutbuki/dell_ultrabuk_transformer_1494273467?slocation=653240;10 999;
"12"" SAMSUNG core i3 ssd отличный ультрабук";https://www.avito.ru/sankt-peterburg/noutbuki/12_samsung_core_i3_ssd_otlichnyy_ultrabuk_1302569942;9 000 ;м. Улица Дыбенко
Ультрабук Dell E7440 Core i5 SSD как новый;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_dell_e7440_core_i5_ssd_kak_novyy_1303272765;24 900;м. Озерки
Ультрабук SAMSUNG NP530 Core i5 / 6GB / 128Gb SSD;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_samsung_np530_core_i5_6gb_128gb_ssd_983960452?slocation=653240;10 900;
Игровой ультрабук Toshiba U940;https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_ultrabuk_toshiba_u940_1053609209?slocation=653240;15 000;
"Ультрабук ThinkPad X240, 12.5"", 8г, SSD, +3G wcdma";https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_thinkpad_x240_12.5_8g_ssd_3g_wcdma_805034666;26 000;
Ультрабук i3-4030U\12-Гигов\ 500gb Hdd Ультрабук i;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_i3-4030u12-gigov_500gb_hdd_ultrabuk_i_1367829473;15 000;м. Адмиралтейская
Ультрабук Asus Сенсорный Core i3/4gb/500gb;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_asus_sensornyy_core_i34gb500gb_1008955067;15 000;м. Парк Победы
"Мощнейший Ультрабук Envy 13-D100 Core i5, SSD, 13""";https://www.avito.ru/sankt-peterburg/noutbuki/moschneyshiy_ultrabuk_envy_13-d100_core_i5_ssd_13_1024668361;52 000;м. Новочеркасская
"Новый Ультрабук Asus UX310UA Core i5, 13""";https://www.avito.ru/sankt-peterburg/noutbuki/novyy_ultrabuk_asus_ux310ua_core_i5_13_1216587737;38 500;м. Новочеркасская
Ультрабук\Amd a 4\4-Гига\500Gb hdd\Video Ati 1gb;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabukamd_a_44-giga500gb_hddvideo_ati_1gb_1455051057;8 999 ;м. Адмиралтейская
Мощный Ультрабук Core-i5-4200U\8-Гигов\ssd 128;https://www.avito.ru/sankt-peterburg/noutbuki/moschnyy_ultrabuk_core-i5-4200u8-gigovssd_128_1365330581;16 999;м. Московская
"Розовый Ультрабук Sony Vaio (13"" /Core i3/Radeon)";https://www.avito.ru/sankt-peterburg/noutbuki/rozovyy_ultrabuk_sony_vaio_13_core_i3radeon_903664638;18 000;м. Проспект Ветеранов
Ультрабук asus VivoBook S301L;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_asus_vivobook_s301l_1335897905?slocation=653240;25 000;
Ультрабук VBook V3, аналог Lenova Yoga, 1.5 кг;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_vbook_v3_analog_lenova_yoga_1.5_kg_932183324?slocation=653240;12 900;
"Новый Ультрабук Asus UX310UA Core i7, 13.3""";https://www.avito.ru/sankt-peterburg/noutbuki/novyy_ultrabuk_asus_ux310ua_core_i7_13.3_976627976;46 900;м. Новочеркасская
"Новый Ультрабук Asus UX305CAB Core M, SSD, 13""";https://www.avito.ru/sankt-peterburg/noutbuki/novyy_ultrabuk_asus_ux305cab_core_m_ssd_13_1164583263;40 500;м. Новочеркасская
"Модный Ультрабук HP Envy 13 Core i7, SSD, 13""";https://www.avito.ru/sankt-peterburg/noutbuki/modnyy_ultrabuk_hp_envy_13_core_i7_ssd_13_1086206319;58 600;м. Новочеркасская
Игровой ультрабук Acer I5-4GEN/FHD/DDR3-6GB/GT750M;https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_ultrabuk_acer_i5-4genfhdddr3-6gbgt750m_1385072725;20 999;м. Площадь Восстания
Asus zenbook Ультрабук\13.3\4gb SSD 128 GB;https://www.avito.ru/sankt-peterburg/noutbuki/asus_zenbook_ultrabuk13.34gb_ssd_128_gb_1297169916;21 000;м. Московская
Ультрабук в металле\Core i5\6-Гигов\video gf 740;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_v_metallecore_i56-gigovvideo_gf_740_956678479;19 999;м. Парк Победы
"12"" ультрабук HP EliteBook 820 G1";https://www.avito.ru/sankt-peterburg/noutbuki/12_ultrabuk_hp_elitebook_820_g1_953751876?slocation=653240;16 500;
"Новый Ультрабук Asus UX310 Core i7, 13""";https://www.avito.ru/sankt-peterburg/noutbuki/novyy_ultrabuk_asus_ux310_core_i7_13_1163808020;46 800;м. Новочеркасская
Ультрабук HP EliteBook Folio 9470m core i7-3687U;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_elitebook_folio_9470m_core_i7-3687u_947964204;32 000;м. Площадь Мужества
"Новый Ультрабук Asus UX305FA(MS) Core M, SSD, 13""";https://www.avito.ru/sankt-peterburg/noutbuki/novyy_ultrabuk_asus_ux305fams_core_m_ssd_13_987334351;38 600;м. Новочеркасская
"Ультрабук Prestigio 13.3"" FHD/IPS/Celeron/SSD";https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_prestigio_13.3_fhdipsceleronssd_1305900714;11 999;м. Площадь Восстания
"Ультрабук Prestigio 15.6"" Intel Atom/DDR3-2GB/SSD";https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_prestigio_15.6_intel_atomddr3-2gbssd_1387832421;7 499 ;м. Площадь Восстания
Asus ультрабук;https://www.avito.ru/sankt-peterburg/noutbuki/asus_ultrabuk_1264509819;23 000;м. Московская
Ультрабук Леново U330p;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_lenovo_u330p_1083142281;25 000;м. Гражданский проспект
"13"" IPS ультрабук 2560x1440 Fujitsu S904";https://www.avito.ru/sankt-peterburg/noutbuki/13_ips_ultrabuk_2560x1440_fujitsu_s904_948107802?slocation=653240;21 000;
Ультрабук-Трансфомер Sony Vaio на Core i5 Новый;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk-transfomer_sony_vaio_na_core_i5_novyy_1116689721;35 000;м. Проспект Ветеранов
"IPS ""ультрабук"" Lenovo Thinkpad X230";https://www.avito.ru/sankt-peterburg/noutbuki/ips_ultrabuk_lenovo_thinkpad_x230_740456091?slocation=653240;16 500;
Ультрабук Dell Latitude E7240;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_dell_latitude_e7240_1161603027;29 900;м. Озерки
Ультрабук HP Folio 13;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_folio_13_1291569112;25 500;м. Озерки
"HP EliteBook 820 G1 Core i5 12.5"" ультрабук";https://www.avito.ru/sankt-peterburg/noutbuki/hp_elitebook_820_g1_core_i5_12.5_ultrabuk_1171645147;17 000;м. Комендантский проспект
Ультрабук Dell тонкий, мощный, лёгкий;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_dell_tonkiy_moschnyy_legkiy_1109892941;45 000;м. Петроградская
